,Job Title,Company Name,Industry,Location,Employment Type,Salary Range,Job Description,Required Skills,key_skills (copy the main ones from required),Preffered Skills,Experience Level,Experience Required,Language,Education,Application Link,Posting Date,Deadline,Language of posting
30,"Business Intelligence Analyst, Commercial & Sales",KK Wind solutions,Energy,Ikast,Full time,N/A,"Contribute to initiatives that improve and implement data analysis capabilities.
Collaborate with your colleagues in the commercial organization to support scenario modeling and decision-making.
Further develop and improve data processes and templates to enhance efficiency and insight generation.
Implement automated solutions for data insights and scenario simulations.
Conduct market research and develop forecast models to monitor industry trends and performance.
Document data processes and contribute to the creation of training materials.","familiar with relational databases (e.g., DB2, MS SQL, Teradata, Oracle) and proficient in SQL and Python is a plus.
Possess strong organizational, communication, and problem-solving skills, with the ability to manage multiple tasks and build relationships in a dynamic environment.
Are self-driven and structured, comfortable with complexity and ambiguity.","MS SQL, Teradata, Oracle, SQL",Python,Associate,1-5 years ,English,"bachelor's degree in data science, business analytics, or a related field; a master's degree is a plus.",https://kkwindsolutions-career.talent-soft.com/Pages/Offre/detailoffre.aspx?idOffre=399&idOrigine=4019&LCID=2057,N/A,15/09/2024,english
31,Portfolio Analyst,Vestas,Energy,Aarhus,Full time,N/A,"Maintain an overview of cost and resource demand and capacity development
Review project change requests in collaboration with the financial controller
Prepare for and participate in meetings with stakeholders from R&D management areas
Participate in roadmap and budgeting processes
Coordinate the implementation of corrective actions, proactively analyze data tendencies and quality, perform ad hoc qualitative data collection, and suggest corrective actions
Maintain and develop reporting practices to support portfolio management
Be or become a SAP PPM and PowerBI super user able to assist stakeholders with the systems","SAP PPM and PowerBI super user.Minimum 1-3 years of experience in a similar position
Experience with portfolio management as a Project Analyst
Hands-on experience with stakeholder communication in an international environment
Experience working with projects - a Prince2 certification is beneficial
Knowledge of SAP PPM and Power Bl is not mandatory however experience with Bl is required.
Experienced user of MS Excel is required, ideally with Power Query","MS Excel ,Power Query","SAP PPM, Power BI, Prince2 certification ",Senior, 1-3 years ,English,"Bachelor's or master's degree in finance, controlling, business analytics or similar",https://careers.vestas.com/job/Aarhus-N-Portfolio-Analyst-Regi/1109808401/,16/08/2024,16/09/2024,english
32,Lead Engineer,Vestas,Energy,Aarhus,Full time,N/A,"Develop and implement back-end infrastructure systems and processes
Coordinate the roll-out, information sharing, and embracement of the product within the company
To work on CMS development Projects based on the requirements. You will be responsible for industrialising the CMS product to the WTG platform needs.
Develop and improve data collection tools, data quality, methods, and processes, while establishing training materials and troubleshooting user guides for various stakeholders
Support Vestas value chain stakeholders & the CMS organization with data analysis, RCA and technical advice
Collect customer feedback, develop case stories, and maintain best practices through close engagement with CMS vendors while continuously steering product development requirements
Preferred expert understanding of the TCM CMS System (tcm.kkwindsolutions.com)","Knowledge of remote monitoring and diagnostics processes and how they work
Skilled in IT systems integration, ideally with experience in CMS systems, and knowledgeable in IT security, network architecture, and IoT systems
Proficient in scripting languages such as Python or similar, with solid working knowledge of database tools like MS-SQL
Possess solid statistical aptitude & data crunching ability, data mining ability
Knowledge of DMAIC Six Sigma Methodology","CMS systems,IT security, network architecture, IoT systems,Python, DMAIC Six Sigma Methodology",TCM CMS Systems  ,Senior,3+ years ,english,Master's in IT Systems,https://careers.vestas.com/job/Aarhus-N-Lead-Engineer-Condition-Monitoring-Systems-Regi/1111363401//,14/08/2024,23/08/2023,english
33,Senior Cost Analyst,Maersk,Transportation & Logistics services,Copenhagen,Full time,N/A,"Reporting of aircraft maintenance costs versus budget
Analysis of aircraft maintenance costs including KPIs
Liaise with the Technical Department to understand and analyse financial aspects of maintenance
Review balance sheet accruals/provisions and recommend adjustments to accruals
Analyze all Capex and related items, including depreciations
Maintenance cost break down, e.g. base and line and consumptions for both components and consumable
Work closely with the financial accountant and technical department on the financial reconciliation of the inventory of components and spare parts
C-check reporting per aircraft with detailed analysis
Monitoring of engines against plan, cycles and hours running, financial reporting on engines and all other time or cycle limited assets - enable a financial discussion on maintenance planning. Maintain accurate and up-to-date records of maintenance costs and provisions
Manage the balances of the lessor maintenance reserves. Submission and follow-up on maintenance reserve claims
Review of charters operated monthly and process adjustments between the business areas
Work closely with the Financial Business Partner (FBP) on cost follow-up in general and particularly on Maersk operation variable costs and capex including regularly updating the maintenance short/medium term forecast in conjunction with the technical team to be used in the group forecasting and budgeting processes
Provide insights and recommendations for cost optimization and efficiency improvements","Solid experience working in the aviation industry
Bachelor's or master-degree in Finance, Accounting, or related field
Proven experience as a Cost Analyst or similar role
Strong analytical skills and attention to detail
Familiarity with aircraft maintenance cost tracking and analysis
Knowledge of Capex, depreciations, and financial reporting
Excellent communication and interpersonal skills
Ability to work independently and collaboratively with cross-functional teams
Fluent in English","Capex, depreciations, and financial reporting",N/A,Senior,experience working in the aviation industry.experience as a Cost Analyst or similar role,english,Bachelor's Finance,https://www.maersk.com/careers/vacancies/wd/Senior-Cost-Analyst_R112094/jt-senior-cost-analyst-maersk-air-cargo-aviation,14/09/2024,20/09/2024,english
34,Business Intelligence Specialist,Lenus,"Health,Wellness and coaching",Copenhagen,Full time,N/A,"Identify and design solutions that improve business performance and operational efficiency.
Be responsible for the entire process from requirement identification till successful adoption of deliverables.
Collaborate with stakeholders across business functions (Finance, Marketing, Sales amongst others) to understand data requirements and identify process improvement opportunities.
Design functional and easily interpretable visualizations that drive decision making.
Conduct workshops to educate teams on how to incorporate data in their daily processes.
Work with a high level of autonomy.","You are familiar with Tableau or PowerBI - with some work experience in building the dashboards, preferably from a student position (up to 2 years of relevant experience from a full-time job position is also welcome).
You have a masters in business or a technical masters with some introductory business courses.
You are familiar with SQL to model large datasets.
You are the kind of person that is curious, proactive and a quick learner with solid business understanding.
You love visualizing complex datasets.
You have experience and/or willingness to work in a fast-paced agile environment.
You are motivated by professional challenges and intellectual sparring.","Tableau or Power BI ,SQL",Tableau,Associate,2 years,english,Masters in business ,https://www.linkedin.com/jobs/view/4011435322/?alternateChannel=search&refId=TiqwH4GtGPybh%2Bak%2BOG89A%3D%3D&trackingId=KOS8BHK%2Ff%2F36a4exoo6lPA%3D%3D,27/08/2024,N/A,english
36,LEAN Consultant (BI),Novo Nordisk,Pharma,Bagsværd,Full time,N/A,"Developing data visualisations and converting data into insights 
Conducting data analysis to support decision making 
Creating and maintaining our KPI-structure, site-VSM and other data-based systems 
Participate in complex problem solving and improvement initiatives by providing valuable data-based insights 
Engaging with relevant stakeholders to grasp business needs and devise value- adding solutions ","A solid Lean toolbox, including VSM, Visual Management, SPS, Continuous Improvements, etc. 
At least 2 years of work experience within Lean, data analysis and visualization 
Experience with Microsoft Power Platform, Tableau while experience with Alteryx is advanageous 
Excellent organization and communication skills 
Proficiency in both written and verbal English with understanding of Danish being advantageos ","VSM, Visual Management, SPS, Microsoft Power Platform, Tableau ",Alteryx,Associate,2 years ,"English, Danish is a plus",Bachelor’s degree ,https://www.linkedin.com/jobs/view/4009413113/?alternateChannel=search&refId=WKuXKBmZNcXh%2FVqeAJKawA%3D%3D&trackingId=ovg8AKO9CLFprBdy4XLTPw%3D%3D,27/08/2024,15/09/2024,english
35,Business Intelligence Developer,TP Aerospace · ,Aviation,Copenhagen,Full time,N/A,"Maintain existing data models (SSAS and Power BI Desktop)
Training the organization in using Power BI reports and functionalities with regards to consuming existing apps/reports and power bi self-service (e.g. creation of new reports)
Optimize Power BI solutions for performance and scalability
Collaborate with business stakeholders to understand their data needs and expand the Power BI platform by creating new data models and reports
Ensure data accuracy and consistency across all reports and dashboards
Identify and introduce new (or currently un-utilized) Power BI functionalities","Strong experience with the Microsoft Power BI suite, including Power BI services, Power BI Desktop and Microsoft Visual studio
Proficient in data modelling, DAX and Power Query M"," Power BI suite, Microsoft Visual studio
,data modelling, DAX, Power Query M", DAX and Power Query M,Associate,2-5 years of relevant work experience from a similar role,english,N/A,https://www.linkedin.com/jobs/search/?currentJobId=4010465931&distance=25&geoId=104514075&keywords=Data%20Analysis&origin=JOB_SEARCH_PAGE_KEYWORD_AUTOCOMPLETE&refresh=true#HYM,29/08/2024,25/09/2024,english
36,"Business Analyst, Recurring Revenue",3Shape,IT,Copenhagen,Full time,N/A,"Requirement Gathering & Analysis: Collaborate with stakeholders to gather, document, and evaluate business requirements for new features, enhancements, and integrations within and beyond our SaaS platform in close collaboration with core stakeholders across IT, Finance, Customer Success, Customer Care, Marketing and Sales
Process Improvement: Identify and recommend improvements to business processes that will enhance the efficiency and effectiveness of our SaaS offerings.
Data Analysis: Utilize data to identify trends, generate insights, and provide recommendations to support decision-making and product development.
User Stories & Documentation: Create detailed user stories, process flows, and other documentation to clearly communicate requirements to the development team.
Stakeholder Communication: Serve as a liaison between business stakeholders, product managers, and development teams to ensure alignment and clarity throughout the project lifecycle.
Reporting: Develop and maintain reports and dashboards that track OKRs, project progress, and other metrics to provide stakeholders with actionable insights.","Experience: 1-3 years of experience as a Business Analyst or similar role, with a commercial focus in the intersection of business and technology and within an agile development setup. Technical Skills: Proficiency in business analysis tools (e.g., JIRA, Confluence, PowerBI) and experience with data analysis and business process mapping Analytical Mindset: Good analytical and problem-solving skills with a keen attention to detail - Excel proficiency is a given Communication: Advanced written and verbal communication skills with the ability to translate complex concepts into clear, understandable PowerPoint slides and visuals Customer Focus: A deep understanding of customer needs and a commitment to delivering high quality user experiences. Collaboration: A structured, yet pragmatic mindset combined with effective stakeholder management and collaboration skills.","JIRA, Confluence, Power BI, PowerPoint, Excel","JIRA, Power BI",,2 years on similar job,N/A,,"Business Analyst, Recurring Revenue",09/04/2024,,English
37,Pricing Analyst,Pandora Jewelery,Beauty & Personal Accessories Stores,Copenhagen,Full time,N/A,"Actively manage and optimize local list prices to support Pandora’s strategic and financial goals.
Share timely product margin outlooks with key stakeholders.
Deliver relevant, actionable insights through regular reporting.
Strengthen Pandora’s price testing, learning, and tracking approaches.
Continuously improve pricing insights, processes, and decision frameworks.","Bachelor’s or Master’s degree in Business, Economics, Mathematics, or a related field.
1-2 years of experience in pricing, finance, consulting, or a similar analytical role.
Proficient in Microsoft Office, particularly Excel, with strong modeling skills.
Experience with data analysis and visualization tools (e.g., Power BI).
Detail-oriented with a focus on driving results.
Passionate about pricing and revenue management, and eager to collaborate with others.
Fluent in English with excellent presentation and communication skills.
Team-player with the ability to engage and support colleagues, including remote teams.
Bonus Skills: Experience with Alteryx or similar ETL/analysis tools","Microsoft Office, Power BI",Alteryx,,1-2 years,,Bachelor’s in Business,Pricing Analyst,09/01/2024,,English
38,Digital Analytics Engineer,Pandora Jewelery,Beauty & Personal Accessories Stores,Copenhagen,Full time,N/A,"
 End-to-end testing, evaluation and quality assurance of Technical Implementation such as server-side APIs, tags and pixels running client-side. 
 Collaboration with other Web Analysts on analysing and quantifying the impact of extensive tagging on page speed and revenue. 
 Cooperation with other Web Analysts on detection of data pollutants and scoping clean-up measures of the data pollutants. 
 Collaboration with Digital Product Managers on optimising performance of the website features by correct tags placement. 
 Collaboration with the Privacy Managers on maintaining compliance in execution of data flows. 
 Cooperation with Digital Engineering teams on translating client-side data collection to server-side pipelines establishment for more secure and compliant customer data handling. 
 Cooperation with the Digital Data Collection Strategist on designing tracking on the new website features and scoping necessary TMS work. 
 Maintaining TMS documentation. 
 Staying on top of latest browser privacy topics and apply compliant fixes. 
 Work in an agile environment 
 Educating Core Tech and other Data teams on client- and server-side tagging. "," You have 3+ years of experience within managing Tag Management Systems in global organisation or media/marketing agency. 
 JavaScript 
 Tealium iQ or equivalent TMS Tealium Event Stream or equivalent server-side data management tool. 
 Experience with implementation of Paid Media, affiliate partners, customer data platform 
 Overall understanding of the implications of privacy by design ","Analytical Skills
Application Programming Interfaces (API)
Data Engineering
Data Science
Customer Data
End-to-end Testing
Extract, Transform, Load (ETL)
Paid Media Advertising
Quality Assurance
Server Side",,,3 +,,,Digital Analytics Engineer,,,English
39,Data Analyst,Thrive IT Systems Ltd,IT,Copenhagen,Full time,N/A,,"Work as an IT analyst Designer , Data Modeler and Data Analyst
Minimum 10 years of experience
Strong in SQL
Understanding business requirements and converting them to IT requirements
Participating conducting meetings with business BA or framework SME to capture requirements
Performing data and object level analysis for identifying IT solution More
Ability to write SQL Queries back track data
Description of knowledge and experience
Previous experience of banking and financial regulatory framework data models would be a huge plus
Experience of data analysis and modelling
Hands on experience of advanced SQL for query execution
Experience of Scrum Agile methodologies
Ability to understand data warehouse architecture
Ability to understand business requirements and translate them into technical design for development
Ability to understand data models from both business and technical perspective Logic Physical Symantec Layer
Ability to understand technology and technical perspectives RDMS Teradata Snowflake
Understanding of regulatory frameworks such as FINREP COREP etc
Experience and knowledge of financial regulatory reporting and data attributes
Ability to communicate effectively with both business stakeholders and IT experts
Supporting testers in root cause analysis of incidents","SQL, Scrum Agile",,Mid-Senior,10 years,,,Data Analyst,,,English
40,Business Analyst,Gentoo Media,IT,Copenhagen,Full time,N/A,"Collaborating with various departments to understand data needs and deliver actionable insights.
Creating and maintaining dashboards and reports using data visualization tools like Tableau and Metabase.
Conducting data analysis to identify trends, patterns, and opportunities for improvement.
Supporting senior analysts and managers with ad-hoc data requests and projects.","Preferably holds a Master’s Degree in a related field, showcasing a strong educational background.
At least 2 years of experience in a similar role.
Experience with data visualization tools such as Tableau, Superset or Metabase.
Strong analytical and problem-solving skills with the ability to extract valuable insights from complex datasets.
A genuine passion for understanding and presenting data and the story behind it.
Proven track record of taking a proactive approach to problem-solving and process improvement.
Ability to work effectively in a team, fostering a collaborative and supportive work environment.
Good communication skills enabling to translate complex information into actionable insights to various stakeholders.
Knowledge of SQL or other data querying languages is a plus.","SQL, Tableau, Superset, MetaBase","SQL, Tableau",Entry Level,2 years,,Master's degree in related Field,Business Analyst,,,
41,Data Analyst,Starred.com,Recruting,Copenhagen,Full time,N/A,"Data Analysis and Visualization: Use SQL, Looker or other data visualisation tool
Methodology and Modeling: Develop and implement statistical models and quantitative methodologies to support data analysis and decision-making processes both internally at Starred and for our customers through our product
Dashboard Management: Oversee the creation, modification, and maintenance of dashboards, ensuring they provide high-level overviews as well as deep-dive insights into survey data.
Streamlined Deployment: Simplify the deployment process for custom dashboards, enabling quicker setup and onboarding for customers.
Technical Support: Be on the front line answering technical requests, supporting, and educating our customers alongside our Product Specialists and Customer Success Managers.","Technical Expertise: Proficient in SQL, with experience in Looker or similar data visualisation tools. We would also expect experience with Python, R or other relevant coding languages
Analytical Skills: Strong background in statistics and quantitative methodology.
Problem-Solving Ability: Excellent analytical and problem-solving skills with great attention to detail and autonomy.
Communication Skills: Fluent in English (written and spoken).","SQL, Python"," SaaS company
 LookML code.
HR ",,,English,,Data Analyst,09/01/2024,,
42,Web Analyst,TUI,Tourism,Copenhagen,Full time,N/A,"Deliver business driven outcomes from data 
Design and develop actionable dashboards
Monitor web performance metrics on daily level for deviations
Regular sales campaign follow ups and reporting
Set up appropriate KPI’s to evaluate performance
Be an active advocate of a data-driven culture","A few years of web analytics experience
Study in E-commerce, web analytics, business performance or equivalent
Good knowledge in Google Analytics or Adobe Analytics or similar digital measurement tool
Proficiency in data visualization e.g. Looker studio, Tableau
If you have experience working with CRO and A/B tests, it’s a plus
A willingness to learn and stay ahead within web analytics.","Google Analytics, Adobe Analytics, Looker Studio, Tableau","CRO, A/B tests",,1-3 years,,,Web Analyst,09/01/2024,,English
43,BI & Analytics Specialist,Formalize,IT,Aarhus,Full time,N/A,"
Project Leadership:

Lead data projects, ensuring they are delivered on time, within scope, and meet business objectives
Collaborate with cross-functional teams, including development, marketing, and sales, to integrate data solutions seamlessly into business processes

Technical Development:

Design, build, and maintain scalable data pipelines and models
Optimize and refine models to improve their performance and accuracy
Integrate various marketing platforms and tools via APIs to create seamless workflows 

Communication & Collaboration:

Communicate complex data concepts and results to non-technical stakeholders clearly and concisely
Collaborate with key stakeholders to understand their needs and how data and insights can provide value
Advocate for a data-driven culture within the organization

Business Acumen

Analyze and interpret complex data to provide actionable insights that drive business growth and operational efficiency
Understanding of the SaaS (or similar) business model
Develop and maintain data models, dashboards, and performance metrics that support strategic decision-making","Proficiency in programming and query languages such as SQL
Proficiency in programming basic Javascript
Minimum of 2 years of experience in data/analytics or a related field
Proven track record of delivering successful data projects
Familiarity with data warehousing: BigQuery preferred
Familiarity with data visualization tools (Looker Studio, Power BI, Tableau etc. applicable)
Strong data integrity, accuracy, and security by implementing robust data governance and management practices
Knowledge of Google Ads, Google Analytics, Google Tag Manager and HubSpot","SQL, JavaScript, Looker/Studio/Power BI/Tableau, Google Ads, Google Tag Manager, HubSpot",BigQuery,,2 years,,,BI & Analytics Specialist,,,English
44,Commercial Data Analyst,Flying Tiger Copenhagen,Internet Retail,Denmark/ home,,N/A,"Data Analysis & Insights: Dive deep into large datasets to perform statistical analysis, basket analysis, and other data-driven studies to support and inform our pricing and trade strategies. Tool Development: Collaborate in the creation and refinement of reporting and pricing tools, ensuring that new tools are effectively communicated and implemented across teams. Reporting: Develop and manage comprehensive reports and dynamic dashboards that deliver actionable insights to key stakeholders. Stakeholder Collaboration: Work closely with pricing and trade departments to seamlessly integrate data insights into decision-making processes. Pricing Optimization: Support the development and implementation of pricing strategies, providing insights into product, pricing, and KPIs to guide future business directions and mitigate margin leakage","Educational Background: A master’s degree in Economics, Statistics, Mathematics, Data Science, or a related field.  Experience: 2-3 years of experience in a data-centric analytical role, ideally within pricing or retail.
Technical Skills: Proficiency in tools such as Power BI, SQL, Power Query, VBA, Python, or similar, is essential to be able to manipulate large datasets and develop sophisticated analytical models.
Statistical Analysis Expertise: Strong experience in statistical analysis and working with large datasets is crucial.
Analytical Mindset: A strong aptitude for analytical thinking and problem-solving, coupled with a structured approach to tasks.
Business Acumen: An understanding of business principles and a preference for data-driven decision-making.
Communication Skills: Excellent written and verbal communication skills are required to be able to present complex data in a clear and compelling way to various stakeholders.
Attention to Detail: High attention to detail is necessary to ensure accuracy and reliability in your analyses and reporting.
Language Proficiency: Fluency in English, both written and spoken, is a must for effective communication across our global teams.","Power BI, SQL, Power Query, VBA, Python, or similar",,"2-3 years of experience in a data-centric analytical role, ideally within pricing or retail.",2-3 years,English,"A Master's degree in Economics, Statistics, Mathematics, Data Science, or a related field.",https://dk.indeed.com/q-data-analyst-jobs.html?vjk=f8585d82804b747f,,,English
45,Master Data Analyst,Lego,Toys,Billund,Hybrid,,"Complete core operational Master Data tasks in ERP System such as Bill of Material creation and maintenance, Work Center, Routing and Production versions of core line components and products
Handle data of material movements between production sites to support planning requests and load levelling together with master data updates for the best optimized planning
Complete reports for data-validation to enable data governance and high quality
Collaborate with partners handling associated and supporting tasks to master data processes, especially Planning- and Production sites and Novelty Development
Participate as a collaborator in tasks of new initiatives and developments of products that has an impact towards the existing master data structure
Help optimize the way we work to enable execution of tasks with high quality and speed including building upon the development of Master Data functionalities and needs for the future","Your educational background could be Production Engineer or Master in Supply Chain Management. However, the educational background is secondary to the right person and experience
Experience with Microsoft Office programs especially Excel is a requirement
Experience with SAP as ERP system is a strong value for the job
Experience within master data, supply chain, quality, production planning etc. and knowhow from a production company is an advantage
Proficiency in English both written and spoken
Thrives with a combination of new tasks and daily operational tasks characterized by routines
Very detail oriented, structured and have a systematic and analytical way of working
Curious to new perspectives and brave to challenge known processes
The ability to see the end2end perspective and you continuously focus on growing your functional expertise","Microsoft Office, Excel","SAP, ERP system",,,English,Production Engineer or Master in Supply Chain Management,https://dk.indeed.com/q-data-analyst-jobs.html?vjk=ebb9b188562e2df4,,,English
46,Business Data Analyst,tandlægen.dk,Health ,Copenhagen,,,"Facilitate business-driven data across functional areas Deliver data/analysis to the business - operations, legal, marketing and HR  Including building dashboards for each functional area","A data-oriented higher education  Analytical, numerate and structured Thrives on detail-orientated work and immersion Can communicate data in a clear and understandable way Preferably previous experience with data processing and analysis. Experience with Excel",Excel ,Excel,,,Danish,A data-oriented higher education (Masters),https://dk.indeed.com/q-data-analyst-jobs.html?vjk=b0013dedbeefe676,,,Danish
47,Junior Business Analyst (Student Assistant),Blue Power Partners,Consultancy,Aalborg,Part-time,,"Construction Tools and Templates: Locate and gather best practice documents from colleagues, project and/or industry. Create global generic templates with guides and training. Maintain and develop current and future tools, documents, templates and knowledge hubs. Support team members with specific project tasks such as reporting, trackers and presentations. Construction Management Process: Create streamlined and best practice processes across all global projects through theories and collaboration with team members.  Innovation: Identify challenges and their causes, to develop solutions into new tools and templates.","Office 365, SharePoint and Power BI.","Office 365, SharePoint and Power BI.",,Junior,,,"bachelor or master’s degree in Project or Operations Management, Civil Engineering, or Business Studies.",https://dk.indeed.com/q-data-analyst-jobs.html?vjk=ca9915d041756f52,,,English
48,Senior Data Analyst,GN Group,Gaming,Ballerup,Full-time,,"Manage, evaluate, and validate the data sets from various sources to ensure data quality and integrity  Translate business requirements into data model designs and technical specs for BI backend developer. Spearhead data-centric initiatives at GCX and offer authoritative guidance on issues pertaining to data Define good standards around data versioning, model management, documentation, integration, and testing
Work with stakeholders to understand data requirements, ensure data flow improvements, and develop scalable and re-usable solutions
Analyze data from a business perspective, create insights and produce reliable and actionable recommendations for GCX Management and key business stakeholders
Build and maintain dashboards, reports, and visualizations to present data findings to stakeholders and facilitate data-driven decision-making
Be part of our Digital Transformation Program, ensuring that the future data landscape is strategically aligned with the needs of Aftermarket Services Hearing, enabling enhanced service delivery and innovation.
Become a key contributor to our Operations Data community as a Subject Matter Expert in Aftermarket Service Hearing data, enhancing our overall performance.","Relevant professional experience with data analysis, which you may have obtained from a similar position within a data focused department – perhaps from a Business Intelligence-, or IT team. Thorough experience with designing and structuring data for efficient querying and analysis.
A good understanding of data warehouse principles, data modelling, data integration and processing/transforming of structured and unstructured data.
Hands-on experience with data analysis tools, visualization and data story telling.
A relevant higher education degree in IT, engineering, or other relevant fields of studies.
Good project-, and stakeholder management abilities and can collaborate across the organization.
Well-developed information processing-, and problem-solving abilities.
Capacity for self-guided work and collaboration within a group setting.
Skilled in translating complex technical matters into understandable terms for diverse English-speaking audiences.
A keen interest in data information in general, incl. staying updated with market and industry trends and technological advancements.
Knowledge about supply chain data and processes is advantageous.",,,,,English,,https://dk.indeed.com/q-data-analyst-jobs.html?vjk=99fa7c15ec10d02c,,15th of September 2024,English
49,Business Analyst,EG Danmark A/S,Software,Aarhus,Hybrid,,"Implement the EDRM system for new customers - long and technical implementations. Translate customer requirements into well-described user stories with clear requirements that can be understood by your developer colleagues and align these solutions with customers.
Operate integration to EDRMS systems and user administration.
Design new functionality.
Create test cases and perform tests (system, integration and user tests).
Continuously keep documentation up to date.
Perform 2nd and 3rd level support on Team Personnel systems.
Assess the impact of errors in the customer's everyday life.
Facilitate and participate in workshops with public sector customers.
Provide input to Product Owner regarding prioritisation and backlog items.","Speak Danish, as our customers communicate in Danish. Have strong analytical skills and the courage to familiarise yourself with a complex area.
Have the courage to work with longer and somewhat technical implementations, as it takes a while to implement integration to an EDRM system.
Willing to have communication with customers - Public customers.
Have good communication skills and attention to detail.
Can translate your experience in balancing business considerations and functional requirements in IT deliverables into concrete results.
Can work both collaboratively and independently and know when to seek help from colleagues.
Can collaborate in a global set-up with colleagues in both Denmark and Poland, so it is important that you are fluent in English, both spoken and written. Our documentation is written in English.",,,,,"Danish, English",,https://dk.indeed.com/q-data-analyst-jobs.html?vjk=4be654647909d618,,,Danish
50,Business Analyst,Verisure,Alarm system,Glostrup,Graduate,,"Build and structure data in SQL. Create and maintain reports in PowerBI
Define and develop measures
Analyse and translate data into commercial actions
Support and participate in various projects in the organisation
Process optimisation/automation","You are data-driven and motivated by working with data and analyses. You have a long- or medium-cycle higher education (e.g. MSc or similar)
You have experience in preparing commercial analyses in Excel and maintaining and developing Power Bi reports.
You are a recent graduate or have a few years of experience from a similar position.
Your approach is analytical and you are able to communicate complex data in an understandable way.
A clean criminal record is a requirement for employment.","Excel, Power BI, SQL",,,,Danish,"Medium-level higher education, (e.g. Master of Business Administration or similar)",https://dk.indeed.com/jobs?q=data+analyst&start=10&vjk=7248cda4460e854f,,,Danish
51,Data Analyst/Engineer for Azure,Banedanmark,Transportation & Logistics services,Copenhagen,Full-time,Salary group 4,"Further development of our Data Repository in the cloud. 
Integration to on-premise solutions with Azure, including traffic support systems. 
Actively contribute to the execution of our continued move from on-premise infrastructure to cloud-based services.
Operation and optimisation of the Azure and Power platform.
Contribute to the operation of one or more business-critical solutions, including ensuring continuous and correct monitoring of data and tuning of the operating platform. 
Assisting with complex data extraction and business analyses.","You have experience working with Azure, SQL coding, general IT and data. We also expect you to have:

Experience in operating and maintaining Cloud solutions.
Knowledge of DevOps orientated development
Focus on IT security and familiarity with the security controls in Azure. 
Solid experience with components in Azure, especially Azure Data Factory and the interaction with the traditional Active Directory such as:

Insight into pipelines in Azure. 
Integrations from other systems to Azure. 
Implementation of new data sources.
Data modelling. 
Experience with Power BI or other reporting tools is an advantage and knowledge of DAX coding, Tabular Editor2 and Powershell scripting would be an advantage.

As a person, you are good at building and developing relationships both internally and externally. At the same time, you are a self-starter and have an attitude and interest in interdisciplinary work","Azure, SQL-coding, general IT, data",,,,Danish,,https://candidate.hr-manager.net/ApplicationInit.aspx?cid=179&ProjectId=193442&DepartmentId=22315&MediaId=5553,,27-09-2024,Danish
52,Bussiness Analyst,Name it,Retail Apparel and Fashion,Brande,Full-time,N/A,"Participation in projects that will support our growth, such as moving the existing reporting setup to a new dataset (Power BI backend/frontend).
Maintenance and improvement of reporting and analysis tools for Sales and other departments, primarily in Power BI and Excel.
Maintenance of accurate master data.
Continuous involvement in setting up and delivering reports on relevant KPIs.
Preparation of weekly, monthly, and ad hoc sales/order reports.
Development, adjustment, and preparation of tools that optimize daily processes—especially for colleagues in our international sales organization and national procurement team.
Contributing to the annual sales budget process.
Providing Excel support for more complex calculation tasks across the organization.
Taking responsibility for internal training in reporting tools—mainly Power BI.","2+ years of experience in a similar position is an advantage
Superuser in Power BI (backend and frontend)
Superuser in Excel and Power Pivot (VBA is an advantage)
Knowledge of ETL and Data Management
Superuser in SQL Developer
Advanced user in PowerPoint or Think Cell, combined with an interest in visual communication
Fluent in English, both written and spoken.","Power BI,  Excel , Power Pivot,VBA,  ETL, Data Management, SQL, power point

",,Junior,2+ years,english and danish, bachelor's or master's degree in Business Intelligence or Business & Economics.,https://www.jobindex.dk/c?t=h1498734&ctx=w&abtestid=3546332033--9168263da337e913234a1abee0ec73bb10ff2f56,9/9/2024,27/9/2024,Danish
53,Functional Analyst – Workday Service & Delivery,DFDS Denmark,Transportation & Logistics services,Copenhagen,Full-time,N/A,"Close functional collaboration with SMEs in People Division on processes and data
Design, test, validate and implement Business Process changes in Workday
Assist in the continued design of our primary master data (Supervisory organization, Job Catalog, Positions etc.)
Participate in system upgrades, release management and regression testing
Provide guidance and support to our end-users and local HR teams as the 3rd level of our support model
Active involvement and configuration of our core modules (HCM, Talent and Compensation) as well as future functional roadmap","3-5 years of experience working with Workday HCM, Talent or Compensation
Experience working with Security Roles and their configuration
Experience configuring, testing and deploying new Business processes as well as updating existing processes
Strong analytical and problem-solving skills
Good communication and relation-building skills with the ability to collaborate with different levels of the organization
Ability to keep an eye on the bigger picture while being on top of the details
Thorough understanding of HR processes and the employee journey",Workday HCM,,,3-5 years,Danish,,Functional Analyst – Workday Service & Delivery,08/01/2024,,Danish
54,Data Analyst,Crediwire,Finance,Copenhagen,Full-time,N/A,"our primary duties will include continuously validating our data to ensure its accuracy and quality, which is crucial to the integrity of our analyses and products. You will conduct various data analyses, extracting meaningful insights that drive business decisions and inform product development."," Experience with Python, SQL & Linux scripting.
 Experience with ETL (Extract, Transform, Load).
 Experience with Git for version control and collaboration.
 Familiarity with AWS Lambda and serverless architecture is a plus.","Python, SQL, Linux, ETL, Git, AWS",,,,," Bachelor’s  Data Science, Statistics, Economics ",https://thehub.io/jobs/66dab4c59a7ef6c6c8d7fd63?utm_source=linkedin&utm_medium=referral&utm_campaign=job_wrapper,,,English
